iter	Passed	Remaining
700	68659	29285
701	68751	29185
702	68860	29091
703	68962	28995
704	69066	28900
705	69163	28801
706	69259	28702
707	69367	28609
708	69469	28512
709	69569	28415
710	69682	28323
711	69777	28224
712	69881	28129
713	69974	28029
714	70094	27939
715	70187	27839
716	70292	27744
717	70380	27642
718	70465	27539
719	70577	27446
720	70691	27355
721	70780	27253
722	70893	27161
723	70983	27060
724	71107	26971
725	71198	26871
726	71290	26770
727	71379	26669
728	71454	26562
729	71566	26469
730	71671	26374
731	71748	26268
732	71824	26162
733	71930	26067
734	72031	25970
735	72153	25881
736	72250	25782
737	72342	25682
738	72419	25577
739	72515	25478
740	72627	25385
741	72731	25289
742	72827	25190
743	72939	25097
744	73044	25001
745	73137	24902
746	73255	24810
747	73376	24720
748	73476	24623
749	73570	24523
750	73670	24426
751	73771	24328
752	73876	24232
753	73991	24140
754	74084	24040
755	74184	23943
756	74283	23845
757	74388	23749
758	74501	23656
759	74606	23559
760	74700	23460
761	74808	23365
762	74909	23267
763	75000	23167
764	75091	23067
765	75184	22967
766	75298	22874
767	75412	22780
768	75525	22687
769	75616	22586
770	75724	22491
771	75838	22397
772	75954	22304
773	76067	22210
774	76177	22115
775	76276	22017
776	76385	21922
777	76479	21823
778	76574	21723
779	76672	21625
780	76755	21522
781	76846	21422
782	76941	21323
783	77043	21226
784	77122	21122
785	77216	21023
786	77328	20928
787	77433	20832
788	77545	20737
789	77640	20638
790	77741	20541
791	77834	20441
792	77921	20340
793	78022	20242
794	78133	20147
795	78236	20050
796	78327	19950
797	78418	19850
798	78514	19751
799	78612	19653
800	78708	19554
801	78811	19457
802	78898	19356
803	79013	19261
804	79090	19158
805	79185	19059
806	79285	18961
807	79394	18865
808	79495	18768
809	79604	18672
810	79702	18574
811	79816	18479
812	79921	18382
813	80040	18289
814	80151	18193
815	80247	18095
816	80351	17997
817	80466	17903
818	80574	17806
819	80676	17709
820	80793	17615
821	80894	17517
822	80982	17416
823	81095	17321
824	81190	17222
825	81294	17124
826	81400	17028
827	81496	16929
828	81600	16831
829	81694	16732
830	81806	16636
831	81896	16536
832	81995	16438
833	82100	16341
834	82198	16242
835	82304	16145
836	82399	16046
837	82492	15947
838	82589	15848
839	82691	15750
840	82787	15651
841	82886	15553
842	82984	15455
843	83074	15355
844	83170	15256
845	83272	15158
846	83366	15059
847	83468	14961
848	83568	14863
849	83669	14765
850	83761	14665
851	83876	14570
852	83955	14468
853	84042	14367
854	84135	14268
855	84240	14171
856	84335	14072
857	84429	13973
858	84519	13873
859	84613	13774
860	84689	13672
861	84779	13572
862	84902	13478
863	84996	13379
864	85097	13281
865	85201	13183
866	85301	13085
867	85414	12989
868	85519	12891
869	85637	12796
870	85747	12699
871	85838	12600
872	85951	12503
873	86056	12406
874	86145	12306
875	86247	12208
876	86346	12110
877	86445	12011
878	86549	11914
879	86641	11814
880	86747	11717
881	86843	11618
882	86945	11520
883	87037	11421
884	87137	11323
885	87240	11225
886	87336	11126
887	87430	11027
888	87528	10928
889	87624	10829
890	87705	10729
891	87817	10632
892	87916	10534
893	88013	10435
894	88096	10335
895	88197	10237
896	88303	10139
897	88385	10039
898	88485	9941
899	88566	9840
900	88661	9741
901	88770	9644
902	88862	9545
903	88968	9447
904	89058	9348
905	89167	9251
906	89264	9152
907	89338	9051
908	89435	8953
909	89527	8854
910	89625	8755
911	89737	8658
912	89835	8560
913	89956	8464
914	90079	8367
915	90204	8271
916	90320	8175
917	90417	8076
918	90517	7978
919	90608	7879
920	90712	7780
921	90810	7682
922	90901	7583
923	91023	7486
924	91191	7393
925	91325	7298
926	91491	7204
927	91656	7111
928	91782	7014
929	91891	6916
930	91977	6816
931	92081	6718
932	92181	6619
933	92285	6521
934	92376	6421
935	92478	6323
936	92575	6224
937	92667	6125
938	92762	6026
939	92861	5927
940	92990	5830
941	93114	5733
942	93183	5632
943	93266	5532
944	93417	5437
945	93591	5342
946	93734	5245
947	93840	5147
948	93970	5050
949	94086	4951
950	94199	4853
951	94302	4754
952	94410	4656
953	94501	4556
954	94613	4458
955	94677	4357
956	94776	4258
957	94878	4159
958	94974	4060
959	95073	3961
960	95175	3862
961	95278	3763
962	95375	3664
963	95474	3565
964	95575	3466
965	95671	3367
966	95764	3268
967	95828	3167
968	95930	3068
969	96029	2969
970	96135	2871
971	96224	2771
972	96339	2673
973	96420	2573
974	96509	2474
975	96605	2375
976	96725	2277
977	96833	2178
978	96924	2079
979	97036	1980
980	97149	1881
981	97242	1782
982	97337	1683
983	97446	1584
984	97548	1485
985	97645	1386
986	97746	1287
987	97842	1188
988	97941	1089
989	98043	990
990	98147	891
991	98249	792
992	98361	693
993	98468	594
994	98578	495
995	98668	396
996	98776	297
997	98876	198
998	98952	99
999	99064	0
